,Sales & Marketing,Engineering Research & Development,Customer Services,Business Operations,Leadership,Other,total_jobs
kelly box and packaging corporation,3,0,0,0,0,0,3
kelly supply company,4,0,0,0,0,0,4
kelly services,0,0,8,0,5,0,13
kelly kritter clips,0,0,0,0,0,0,0
metro kelly inc.,0,0,2,0,0,0,2
kelly d. nails and spa,0,0,0,0,0,0,0
"kelly cable of n.m., llc.",0,1,0,1,1,0,3
sean kelly,0,0,0,0,0,0,0
kelly cable,0,3,0,2,4,0,9
kelly box & packaging,0,0,0,0,2,0,2
"kelly logistics, llc - a dsp company that delivers packages for amazon",0,0,0,0,0,3,3
kelly products,0,0,0,1,0,0,1
kelly - measured progress,0,0,0,0,0,0,0
the kelly companies,0,0,0,0,0,0,0
the law offices of amy sholar & kelly stephan,0,0,0,0,0,0,0
the kelly group,0,3,0,0,0,0,3
"kelly generator & equipment, inc.",0,0,0,0,0,0,0
monica kelly & co.,0,0,0,0,0,0,0
monsignor kelly catholic high school,0,0,0,0,1,0,1
kelly government/national institutes of health,0,0,0,0,0,0,0
kelly cooper homes,0,0,0,0,0,0,0
kelly+co | kelly co homes,0,0,0,0,0,0,0
perry kelly plumbing inc.,0,0,0,0,0,0,0
kelly community fcu,0,0,0,0,0,0,0
kelly wellness and chiropractic,0,0,0,0,0,0,0
kelly government,0,0,0,0,0,0,0
"jerry kelly heating and air conditioning , inc.",0,0,0,0,0,0,0
mike kelly automotive,0,0,0,0,0,0,0
deloitte,0,17,0,52,9,0,78
robert half,0,9,8,11,3,0,31
robert half corporate internal,0,16,2,24,2,0,44
enlyft,0,4,0,0,0,0,4
kpmg,1,34,0,20,11,0,66
leidos,0,64,3,11,0,0,78
leidos cyber,0,0,0,0,0,0,0
csc (corporation service company),2,6,19,13,13,0,53
csc transportation,0,4,0,6,1,0,11
csc services,0,0,0,0,0,0,0
csc serviceworks,0,0,1,5,1,1,8
"contemporary services corporation, csc",0,0,0,0,0,0,0
csc steil dermatology,0,0,0,0,0,0,0
csc,0,0,0,0,0,0,0
csc management,0,0,0,0,0,0,0
"siemens manufacturing co., inc.",0,5,0,4,0,0,9
siemens,4,22,12,7,3,0,48
"siemens industry, inc.",0,0,0,0,0,0,0
bank of america,5,3,7,16,3,0,34
levy at bank of america stadium,0,0,0,0,0,0,0
bloomberg,19,19,7,10,12,0,67
bloomberg associates,0,0,0,0,0,0,0
bloomberg bna,10,3,0,1,0,0,14
(insert your company name here),0,0,4,0,0,0,4
randstad,10,0,2,5,17,8,42
